High School,Total,New Graduates,Previous Graduates,Success Rank
ÖZEL İZMİR BAHÇEŞEHİR KOLEJİ ELLİNCİ YIL FEN VE TEKNOLOJİ LİSESİ (İZMİR - BORNOVA),2,2,0,945
ÖZEL JALE TEZER BİLİM FEN LİSESİ (ANKARA - ÇANKAYA),1,1,0,945
ÖZEL JALE TEZER FEN LİSESİ (ANKARA - ÇANKAYA),1,1,0,945
ÖZEL KADİRLİ ÇUKUROVA ARTI KOEJİ FEN LİSESİ (OSMANİYE - KADİRLİ),1,1,0,945
ANKARA PURSAKLAR FEN LİSESİ (ANKARA - PURSAKLAR),1,1,0,945
ÖZEL KANGURU FEN LİSESİ (MALATYA - YEŞİLYURT),3,3,0,945
ÖZEL KARABÜK BAHÇEŞEHİR KOLEJİ FEN LİSESİ (KARABÜK - MERKEZ),1,1,0,945
ÖZEL KARDELEN FEN LİSESİ (NEVŞEHİR - MERKEZ),1,1,0,945
ÖZEL MERSİN ELİT KOLEJİ FEN LİSESİ (MERSİN - YENİŞEHİR),1,1,0,945
ÖZEL NEVŞEHİR SİMYA FEN LİSESİ (NEVŞEHİR - MERKEZ),1,1,0,945
ÖZEL ÖZEN ANADOLU LİSESİ (MERSİN - YENİŞEHİR),1,1,0,945
ÖZEL SAKARYA BAHÇEŞEHİR KOLEJİ ANADOLU LİSESİ (SAKARYA - ADAPAZARI),1,1,0,945
ÖZEL SARAÇ İLGİ OKULLARI FEN LİSESİ (ŞANLIURFA - KARAKÖPRÜ),1,1,0,945
ÖZEL SEZİN LİSESİ (İSTANBUL - ÇEKMEKÖY),1,1,0,945
ÖZEL TAN FEN LİSESİ (BURSA - NİLÜFER),1,1,0,945
ANTALYA TÜRKİYE ODALAR VE BORSALAR BİRLİĞİ FEN LİSESİ (ANTALYA - KEPEZ),1,1,0,945
ÖZEL TÜRK FEN LİSESİ (İZMİR - KONAK),1,1,0,945
ÖZEL ÜNYE BAHÇEŞEHİR FEN LİSESİ (ORDU - ÜNYE),1,1,0,945
ÖZKENT AKBİLEK FEN LİSESİ (ANKARA - ETİMESGUT),2,2,0,945
REFİK ARSLAN ÖZTÜRK FEN LİSESİ (BİLECİK - MERKEZ),1,1,0,945
SAMSUN GARİP ZEYCAN YILDIRIM FEN LİSESİ (SAMSUN - ATAKUM),2,2,0,945
SELÇUKLU ANADOLU LİSESİ (KONYA - SELÇUKLU),1,1,0,945
SİLİFKE FEN LİSESİ (MERSİN - SİLİFKE),1,1,0,945
SİVAS LİSESİ (SİVAS - MERKEZ),1,1,0,945
SUNGURLU FEN LİSESİ (ÇORUM - SUNGURLU),1,1,0,945
SÜMER FEN LİSESİ (KAYSERİ - KOCASİNAN),1,1,0,945
ARAŞTIRMA GELİŞTİRME EĞİTİM VE UYGULAMA MERKEZİ LİSESİ (İSTANBUL - ÜSKÜDAR),1,1,0,945
ŞEHİT MUSTAFA SERİN FEN LİSESİ (BALIKESİR - EDREMİT),1,1,0,945
ŞEHİT OĞUZHAN YAŞAR ANADOLU LİSESİ (ANKARA - ETİMESGUT),1,1,0,945
ŞEHİT TURGUT SOLAK FEN LİSESİ (BALIKESİR - KARESİ),1,1,0,945
TAHİR BÜYÜKKÖRÜKÇÜ ANADOLU İMAM HATİP LİSESİ (KONYA - MERAM),1,1,0,945
TED BATMAN PETROL KOLEJİ ÖZEL ANADOLU LİSESİ (BATMAN - MERKEZ),1,1,0,945
UŞAK FEN LİSESİ (UŞAK - MERKEZ),2,2,0,945
YAHYA AKEL FEN LİSESİ (MERSİN - YENİŞEHİR),1,1,0,945
YAŞAR ACAR FEN LİSESİ (İSTANBUL - BEYLİKDÜZÜ),1,1,0,945
YUSUF ZİYA ÖNER FEN LİSESİ (ANTALYA - DÖŞEMEALTI),1,1,0,945
ATATÜRK ANADOLU LİSESİ (ANKARA - YENİMAHALLE),11,11,0,945
Toplam,116,111,5,1.008
CEMİL MERİÇ FEN LİSESİ (ELAZIĞ - MERKEZ),1,0,1,1.008
ÇANAKKALE ÖZEL FEN LİSESİ (ÇANAKKALE - MERKEZ),1,1,0,1.008
ÇAPA FEN LİSESİ (İSTANBUL - FATİH),4,4,0,1.008
EDREMİT ANADOLU LİSESİ (BALIKESİR - EDREMİT),1,1,0,1.008
ERBAKIR FEN LİSESİ (DENİZLİ - MERKEZEFENDİ),2,2,0,1.008
EREĞLİ FEN LİSESİ (KONYA - EREĞLİ),1,1,0,1.008
ERZİNCAN FEN LİSESİ (ERZİNCAN - MERKEZ),1,1,0,1.008
